Home Team;Away Team;Result
Basel;Sevilla;Draw
Shakhtar Donetsk;Anderlecht;Win
Sparta Praha;Lazio;Draw
Liverpool;Man. United;Win
Athletic;Valencia;Win
Villarreal;Leverkusen;Win
Lazio;Sparta Praha;Loss
Valencia;Athletic;Win
Leverkusen;Villarreal;Draw
Braga;Fenerbahçe;Win
Tottenham;Dortmund;Loss
Man. United;Liverpool;Draw
Sevilla;Basel;Win
Anderlecht;Shakhtar Donetsk;Loss
Dortmund;Liverpool;Draw
Athletic;Sevilla;Loss
Villarreal;Sparta Praha;Win
Braga;Shakhtar Donetsk;Loss
Liverpool;Dortmund;Win
Sevilla;Athletic;Loss
Sparta Praha;Villarreal;Loss
Shakhtar Donetsk;Braga;Win
Villarreal;Liverpool;Win
Shakhtar Donetsk;Sevilla;Draw
Liverpool;Villarreal;Win
Sevilla;Shakhtar Donetsk;Win
Liverpool;Sevilla;Loss
Göteborg;HJK;Loss
Torpedo Zhodino;Rapid Wien;Draw
LOSC;Gabala;Draw
Austria Wien;Spartak Trnava;Loss
İstanbul Başakşehir;Rijeka;Draw
Birkirkara;Krasnodar;Loss
Grasshoppers;Apollon;Win
Luzern;Sassuolo;Draw
Shkëndija;Mladá Boleslav;Win
Genk;Cork;Win
Osmanlıspor;Kalju;Win
Panathinaikos;AIK;Win
Vojvodina;Dinamo Minsk;Draw
Pandurii;M. Tel-Aviv;Loss
Hertha;Brøndby;Win
Gent;Viitorul;Win
Vidi;Midtjylland;Loss
Domžale;West Ham;Win
Aberdeen;Maribor;Draw
AZ;Giannina;Win
St-Étienne;AEK;Draw
Admira;Liberec;Loss
Liberec;Admira;Win
HJK;Göteborg;Loss
Midtjylland;Vidi;Draw
Kalju;Osmanlıspor;Loss
Spartak Trnava;Austria Wien;Loss
Krasnodar;Birkirkara;Win
Spartak Moskva;AEK Larnaca;Loss
Apollon;Grasshoppers;Draw
Mladá Boleslav;Shkëndija;Win
Arouca;Heracles;Draw
Gabala;LOSC;Win
AIK;Panathinaikos;Loss
Beitar Jerusalem;Jelgava;Win
Giannina;AZ;Loss
Vorskla;Lokomotiva Zagreb;Loss
SønderjyskE;Zagłębie;Draw
M. Tel-Aviv;Pandurii;Win
Dinamo Minsk;Vojvodina;Loss
AEK;St-Étienne;Loss
Viitorul;Gent;Draw
Rijeka;İstanbul Başakşehir;Draw
Brøndby;Hertha;Win
Maribor;Aberdeen;Win
Hajduk Split;Olexandriya;Win
Sassuolo;Luzern;Win
West Ham;Domžale;Win
Cork;Genk;Loss
Rio Ave;Slavia Praha;Draw
Rapid Wien;Torpedo Zhodino;Win
Beitar Jerusalem;St-Étienne;Loss
Astana;BATE;Win
Dinamo Tbilisi;PAOK;Loss
SønderjyskE;Sparta Praha;Draw
Krasnodar;Partizani;Win
Midtjylland;Osmanlıspor;Loss
M. Tel-Aviv;Hajduk Split;Win
Göteborg;Qarabağ;Win
Slavia Praha;Anderlecht;Loss
Gabala;Maribor;Win
Austria Wien;Rosenborg;Win
AEK Larnaca;Liberec;Loss
İstanbul Başakşehir;Shakhtar Donetsk;Loss
Panathinaikos;Brøndby;Win
Fenerbahçe;Grasshoppers;Win
Vojvodina;AZ;Loss
Lokomotiva Zagreb;Genk;Draw
Astra;West Ham;Draw
Gent;Shkëndija;Win
Sassuolo;Crvena zvezda;Win
Arouca;Olympiacos;Loss
Trenčín;Rapid Wien;Loss
Qarabağ;Göteborg;Win
Brøndby;Panathinaikos;Draw
Grasshoppers;Fenerbahçe;Loss
Rosenborg;Austria Wien;Loss
Liberec;AEK Larnaca;Win
Partizani;Krasnodar;Draw
Sparta Praha;SønderjyskE;Win
Shkëndija;Gent;Loss
Anderlecht;Slavia Praha;Win
AZ;Vojvodina;Draw
PAOK;Dinamo Tbilisi;Win
Genk;Lokomotiva Zagreb;Win
Osmanlıspor;Midtjylland;Win
BATE;Astana;Draw
Maribor;Gabala;Win
Hajduk Split;M. Tel-Aviv;Win
Crvena zvezda;Sassuolo;Draw
West Ham;Astra;Loss
St-Étienne;Beitar Jerusalem;Draw
Olympiacos;Arouca;Win
Shakhtar Donetsk;İstanbul Başakşehir;Win
Rapid Wien;Trenčín;Loss
Qarabağ;Liberec;Draw
Zorya;Fenerbahçe;Draw
Feyenoord;Man. United;Win
APOEL;Astana;Win
Young Boys;Olympiacos;Loss
Anderlecht;Gabala;Win
Mainz;St-Étienne;Draw
M. Tel-Aviv;Zenit;Loss
AZ;Dundalk;Draw
Astra;Austria Wien;Loss
Plzeň;Roma;Draw
Sassuolo;Athletic;Win
Rapid Wien;Genk;Win
Panathinaikos;Ajax;Loss
Standard Liège;Celta;Draw
Braga;Gent;Draw
Konyaspor;Shakhtar Donetsk;Loss
Nice;Schalke;Loss
Salzburg;Krasnodar;Loss
PAOK;Fiorentina;Draw
Southampton;Sparta Praha;Win
Internazionale;H. Beer-Sheva;Loss
Villarreal;Zürich;Win
Osmanlıspor;FCSB;Win
Astana;Young Boys;Draw
Gabala;Mainz;Loss
Celta;Panathinaikos;Win
Ajax;Standard Liège;Win
Shakhtar Donetsk;Braga;Win
Gent;Konyaspor;Win
Krasnodar;Nice;Win
Schalke;Salzburg;Win
Liberec;PAOK;Loss
Fiorentina;Qarabağ;Win
H. Beer-Sheva;Southampton;Draw
Sparta Praha;Internazionale;Win
FCSB;Villarreal;Draw
Zürich;Osmanlıspor;Win
Man. United;Zorya;Win
Fenerbahçe;Feyenoord;Win
Olympiacos;APOEL;Loss
St-Étienne;Anderlecht;Draw
Dundalk;M. Tel-Aviv;Win
Zenit;AZ;Win
Roma;Astra;Win
Austria Wien;Plzeň;Draw
Genk;Sassuolo;Win
Athletic;Rapid Wien;Win
Standard Liège;Panathinaikos;Draw
Celta;Ajax;Draw
Konyaspor;Braga;Draw
Shakhtar Donetsk;Gent;Win
Salzburg;Nice;Loss
Krasnodar;Schalke;Loss
Qarabağ;PAOK;Win
Liberec;Fiorentina;Loss
Internazionale;Southampton;Win
H. Beer-Sheva;Sparta Praha;Loss
Osmanlıspor;Villarreal;Draw
FCSB;Zürich;Draw
Feyenoord;Zorya;Win
Man. United;Fenerbahçe;Win
Young Boys;APOEL;Win
Olympiacos;Astana;Win
Mainz;Anderlecht;Draw
St-Étienne;Gabala;Win
AZ;M. Tel-Aviv;Loss
Dundalk;Zenit;Loss
Plzeň;Astra;Loss
Roma;Austria Wien;Draw
Rapid Wien;Sassuolo;Draw
Genk;Athletic;Win
Astana;Olympiacos;Draw
Zorya;Feyenoord;Draw
Fenerbahçe;Man. United;Win
APOEL;Young Boys;Win
Anderlecht;Mainz;Win
Gabala;St-Étienne;Loss
M. Tel-Aviv;AZ;Draw
Zenit;Dundalk;Win
Astra;Plzeň;Draw
Austria Wien;Roma;Loss
Sassuolo;Rapid Wien;Draw
Athletic;Genk;Win
Panathinaikos;Standard Liège;Loss
Ajax;Celta;Win
Braga;Konyaspor;Win
Gent;Shakhtar Donetsk;Loss
Nice;Salzburg;Loss
Schalke;Krasnodar;Win
PAOK;Qarabağ;Loss
Fiorentina;Liberec;Win
Southampton;Internazionale;Win
Sparta Praha;H. Beer-Sheva;Win
Villarreal;Osmanlıspor;Loss
Zürich;FCSB;Draw
Fenerbahçe;Zorya;Win
Astana;APOEL;Win
Gabala;Anderlecht;Loss
Zenit;M. Tel-Aviv;Win
Ajax;Panathinaikos;Win
Celta;Standard Liège;Draw
Gent;Braga;Draw
Shakhtar Donetsk;Konyaspor;Win
Schalke;Nice;Win
Krasnodar;Salzburg;Draw
Fiorentina;PAOK;Loss
Liberec;Qarabağ;Win
Sparta Praha;Southampton;Win
H. Beer-Sheva;Internazionale;Win
Zürich;Villarreal;Draw
FCSB;Osmanlıspor;Win
Man. United;Feyenoord;Win
Olympiacos;Young Boys;Draw
St-Étienne;Mainz;Draw
Dundalk;AZ;Loss
Austria Wien;Astra;Loss
Roma;Plzeň;Win
Athletic;Sassuolo;Win
Genk;Rapid Wien;Win
Braga;Shakhtar Donetsk;Loss
Konyaspor;Gent;Loss
PAOK;Liberec;Win
Qarabağ;Fiorentina;Loss
Villarreal;FCSB;Win
Osmanlıspor;Zürich;Win
Zorya;Man. United;Loss
Feyenoord;Fenerbahçe;Loss
APOEL;Olympiacos;Win
Young Boys;Astana;Win
Anderlecht;St-Étienne;Loss
Mainz;Gabala;Win
M. Tel-Aviv;Dundalk;Win
AZ;Zenit;Win
Astra;Roma;Draw
Plzeň;Austria Wien;Win
Rapid Wien;Athletic;Draw
Panathinaikos;Celta;Loss
Standard Liège;Ajax;Draw
Nice;Krasnodar;Win
Salzburg;Schalke;Win
Southampton;H. Beer-Sheva;Draw
Internazionale;Sparta Praha;Win
Sassuolo;Genk;Loss
Krasnodar;Fenerbahçe;Win
AZ;Lyon;Loss
Mönchengladbach;Fiorentina;Loss
Rostov;Sparta Praha;Win
Gent;Tottenham;Win
Olympiacos;Osmanlıspor;Draw
Celta;Shakhtar Donetsk;Loss
Ludogorets;København;Loss
Astra;Genk;Draw
PAOK;Schalke;Loss
H. Beer-Sheva;Beşiktaş;Loss
Villarreal;Roma;Loss
Man. United;St-Étienne;Win
Anderlecht;Zenit;Win
Legia;Ajax;Draw
Athletic;APOEL;Win
Schalke;PAOK;Draw
Fenerbahçe;Krasnodar;Draw
St-Étienne;Man. United;Loss
Osmanlıspor;Olympiacos;Loss
Beşiktaş;H. Beer-Sheva;Win
Roma;Villarreal;Loss
Zenit;Anderlecht;Win
Ajax;Legia;Win
APOEL;Athletic;Win
Lyon;AZ;Win
Fiorentina;Mönchengladbach;Loss
Sparta Praha;Rostov;Draw
Tottenham;Gent;Draw
Shakhtar Donetsk;Celta;Loss
København;Ludogorets;Draw
Genk;Astra;Win
København;Ajax;Win
Rostov;Man. United;Draw
APOEL;Anderlecht;Loss
Gent;Genk;Loss
Olympiacos;Beşiktaş;Draw
Lyon;Roma;Win
Schalke;Mönchengladbach;Draw
Celta;Krasnodar;Win
Genk;Gent;Draw
Beşiktaş;Olympiacos;Win
Krasnodar;Celta;Loss
Ajax;København;Win
Man. United;Rostov;Win
Roma;Lyon;Win
Mönchengladbach;Schalke;Draw
Anderlecht;APOEL;Win
Lyon;Beşiktaş;Win
Ajax;Schalke;Win
Celta;Genk;Win
Anderlecht;Man. United;Draw
Beşiktaş;Lyon;Win
Schalke;Ajax;Win
Genk;Celta;Draw
Man. United;Anderlecht;Win
Ajax;Lyon;Win
Celta;Man. United;Loss
Man. United;Celta;Draw
Lyon;Ajax;Win
Ajax;Man. United;Loss
Sūduva;Sion;Win
AIK;Braga;Draw
AEK Larnaca;Dinamo Minsk;Win
Utrecht;Lech;Draw
Östersund;Fola;Win
Bnei Yehuda;Zenit;Loss
Botev Plovdiv;Marítimo;Draw
Astra;Olexandriya;Draw
Dinamo Bucureşti;Athletic;Draw
Brøndby;Hajduk Split;Draw
Universitatea Craiova;Milan;Loss
Arka;Midtjylland;Win
Crvena zvezda;Sparta Praha;Win
Gent;Altach;Draw
Bordeaux;Vidi;Win
Panathinaikos;Gabala;Win
Marseille;Oostende;Win
Aberdeen;Apollon;Win
Dinamo Zagreb;Odd;Win
Freiburg;Domžale;Win
Everton;Ružomberok;Win
Austria Wien;AEL;Draw
Sion;Sūduva;Draw
AEL;Austria Wien;Loss
Dinamo Minsk;AEK Larnaca;Draw
Shkëndija;Trakai;Win
Odd;Dinamo Zagreb;Draw
Zenit;Bnei Yehuda;Loss
Sparta Praha;Crvena zvezda;Loss
Apollon;Aberdeen;Win
Olexandriya;Astra;Win
Vidi;Bordeaux;Win
Gabala;Panathinaikos;Loss
Fola;Östersund;Loss
Fenerbahçe;Sturm;Draw
Lyngby;Krasnodar;Loss
Marítimo;Botev Plovdiv;Win
PAOK;Olimpik Donetsk;Win
Skënderbeu;Mladá Boleslav;Win
Lech;Utrecht;Draw
Altach;Gent;Win
Hajduk Split;Brøndby;Win
Midtjylland;Arka;Win
Oostende;Marseille;Draw
Ružomberok;Everton;Loss
Milan;Universitatea Craiova;Win
Athletic;Dinamo Bucureşti;Win
Osijek;PSV;Win
Panionios;M. Tel-Aviv;Loss
Domžale;Freiburg;Win
Braga;AIK;Win
Utrecht;Zenit;Win
Dinamo Zagreb;Skënderbeu;Draw
BATE;Olexandriya;Draw
Apollon;Midtjylland;Win
Krasnodar;Crvena zvezda;Win
FH;Braga;Loss
PAOK;Östersund;Win
Vardar;Fenerbahçe;Win
Plzeň;AEK Larnaca;Win
Ludogorets;Sūduva;Win
Altach;M. Tel-Aviv;Loss
Panathinaikos;Athletic;Loss
Legia;Sheriff;Draw
Domžale;Marseille;Draw
Ajax;Rosenborg;Loss
Viitorul;Salzburg;Loss
Club Brugge;AEK;Draw
Osijek;Austria Wien;Loss
Milan;Shkëndija;Win
Partizan;Vidi;Draw
Everton;Hajduk Split;Win
Marítimo;Dynamo Kyiv;Draw
AEK Larnaca;Plzeň;Draw
Dynamo Kyiv;Marítimo;Win
Östersund;PAOK;Win
Sheriff;Legia;Draw
Zenit;Utrecht;Win
Olexandriya;BATE;Loss
M. Tel-Aviv;Altach;Draw
Salzburg;Viitorul;Win
Sūduva;Ludogorets;Draw
Fenerbahçe;Vardar;Loss
Vidi;Partizan;Loss
Skënderbeu;Dinamo Zagreb;Draw
Midtjylland;Apollon;Draw
AEK;Club Brugge;Win
Marseille;Domžale;Win
Rosenborg;Ajax;Win
Braga;FH;Win
Athletic;Panathinaikos;Win
Shkëndija;Milan;Loss
Hajduk Split;Everton;Draw
Crvena zvezda;Krasnodar;Win
Austria Wien;Osijek;Loss
Slavia Praha;M. Tel-Aviv;Win
Villarreal;Astana;Win
Young Boys;Partizan;Draw
Dynamo Kyiv;Skënderbeu;Win
İstanbul Başakşehir;Ludogorets;Draw
Hoffenheim;Braga;Loss
Rijeka;AEK;Loss
Austria Wien;Milan;Loss
Apollon;Lyon;Draw
Atalanta;Everton;Win
København;Lokomotiv Moskva;Draw
Zlín;Sheriff;Draw
FCSB;Plzeň;Win
H. Beer-Sheva;Lugano;Win
Arsenal;Köln;Win
Crvena zvezda;BATE;Draw
Vitória SC;Salzburg;Draw
Marseille;Konyaspor;Win
Hertha;Athletic;Draw
Zorya;Östersund;Loss
Vitesse;Lazio;Loss
Zulte Waregem;Nice;Loss
Real Sociedad;Rosenborg;Win
Vardar;Zenit;Loss
Astana;Slavia Praha;Draw
Lugano;FCSB;Loss
Plzeň;H. Beer-Sheva;Win
BATE;Arsenal;Loss
Köln;Crvena zvezda;Loss
Konyaspor;Vitória SC;Win
Salzburg;Marseille;Win
Östersund;Hertha;Win
Athletic;Zorya;Loss
Nice;Vitesse;Win
Lazio;Zulte Waregem;Win
Zenit;Real Sociedad;Win
Rosenborg;Vardar;Win
M. Tel-Aviv;Villarreal;Draw
Skënderbeu;Young Boys;Draw
Partizan;Dynamo Kyiv;Loss
Braga;İstanbul Başakşehir;Win
Ludogorets;Hoffenheim;Win
Milan;Rijeka;Win
AEK;Austria Wien;Draw
Everton;Apollon;Draw
Lyon;Atalanta;Draw
Sheriff;København;Draw
Lokomotiv Moskva;Zlín;Win
Astana;M. Tel-Aviv;Win
H. Beer-Sheva;FCSB;Loss
Lugano;Plzeň;Win
Crvena zvezda;Arsenal;Loss
BATE;Köln;Win
Marseille;Vitória SC;Win
Konyaspor;Salzburg;Loss
Zorya;Hertha;Win
Östersund;Athletic;Draw
Zulte Waregem;Vitesse;Draw
Nice;Lazio;Loss
Vardar;Real Sociedad;Loss
Zenit;Rosenborg;Win
Villarreal;Slavia Praha;Draw
Dynamo Kyiv;Young Boys;Draw
Skënderbeu;Partizan;Draw
Hoffenheim;İstanbul Başakşehir;Win
Braga;Ludogorets;Loss
Austria Wien;Rijeka;Loss
Milan;AEK;Draw
Atalanta;Apollon;Win
Everton;Lyon;Loss
Zlín;København;Draw
Sheriff;Lokomotiv Moskva;Draw
Slavia Praha;Villarreal;Loss
M. Tel-Aviv;Astana;Loss
Young Boys;Dynamo Kyiv;Loss
Partizan;Skënderbeu;Win
İstanbul Başakşehir;Hoffenheim;Draw
Ludogorets;Braga;Draw
Rijeka;Austria Wien;Loss
AEK;Milan;Draw
Apollon;Atalanta;Draw
Lyon;Everton;Win
København;Zlín;Win
Lokomotiv Moskva;Sheriff;Loss
FCSB;H. Beer-Sheva;Draw
Plzeň;Lugano;Win
Arsenal;Crvena zvezda;Draw
Köln;BATE;Win
Vitória SC;Marseille;Win
Salzburg;Konyaspor;Draw
Hertha;Zorya;Win
Athletic;Östersund;Win
Vitesse;Zulte Waregem;Loss
Lazio;Nice;Win
Real Sociedad;Vardar;Win
Rosenborg;Zenit;Draw
Astana;Villarreal;Loss
Lokomotiv Moskva;København;Win
Plzeň;FCSB;Win
Lugano;H. Beer-Sheva;Win
Köln;Arsenal;Win
BATE;Crvena zvezda;Draw
Salzburg;Vitória SC;Win
Konyaspor;Marseille;Draw
Athletic;Hertha;Win
Östersund;Zorya;Win
Lazio;Vitesse;Draw
Nice;Zulte Waregem;Win
Rosenborg;Real Sociedad;Loss
Zenit;Vardar;Win
M. Tel-Aviv;Slavia Praha;Loss
Partizan;Young Boys;Win
Skënderbeu;Dynamo Kyiv;Win
Ludogorets;İstanbul Başakşehir;Loss
Braga;Hoffenheim;Win
AEK;Rijeka;Draw
Milan;Austria Wien;Win
Lyon;Apollon;Win
Everton;Atalanta;Loss
Sheriff;Zlín;Win
Slavia Praha;Astana;Loss
Villarreal;M. Tel-Aviv;Loss
Young Boys;Skënderbeu;Win
Dynamo Kyiv;Partizan;Win
İstanbul Başakşehir;Braga;Win
Hoffenheim;Ludogorets;Draw
Rijeka;Milan;Win
Austria Wien;AEK;Draw
Apollon;Everton;Loss
Atalanta;Lyon;Win
København;Sheriff;Win
Zlín;Lokomotiv Moskva;Loss
FCSB;Lugano;Loss
H. Beer-Sheva;Plzeň;Loss
Arsenal;BATE;Win
Crvena zvezda;Köln;Win
Vitória SC;Konyaspor;Draw
Marseille;Salzburg;Draw
Hertha;Östersund;Draw
Zorya;Athletic;Loss
Vitesse;Nice;Win
Zulte Waregem;Lazio;Win
Real Sociedad;Zenit;Loss
Vardar;Rosenborg;Draw
Crvena zvezda;CSKA Moskva;Draw
Astana;Sporting CP;Loss
Marseille;Braga;Win
Östersund;Arsenal;Loss
Ludogorets;Milan;Loss
Real Sociedad;Salzburg;Draw
Spartak Moskva;Athletic;Loss
Nice;Lokomotiv Moskva;Loss
Dortmund;Atalanta;Win
FCSB;Lazio;Win
Partizan;Plzeň;Draw
Lyon;Villarreal;Win
Napoli;Leipzig;Loss
Celtic;Zenit;Win
AEK;Dynamo Kyiv;Draw
København;Atlético;Loss
CSKA Moskva;Crvena zvezda;Win
Lokomotiv Moskva;Nice;Win
Sporting CP;Astana;Draw
Lazio;FCSB;Win
Plzeň;Partizan;Win
Villarreal;Lyon;Loss
Leipzig;Napoli;Loss
Zenit;Celtic;Win
Dynamo Kyiv;AEK;Draw
Atlético;København;Win
Braga;Marseille;Win
Arsenal;Östersund;Loss
Milan;Ludogorets;Win
Salzburg;Real Sociedad;Win
Athletic;Spartak Moskva;Loss
Atalanta;Dortmund;Draw
Milan;Arsenal;Loss
Dortmund;Salzburg;Loss
CSKA Moskva;Lyon;Loss
Atlético;Lokomotiv Moskva;Win
Sporting CP;Plzeň;Win
Marseille;Athletic;Win
Leipzig;Zenit;Win
Lazio;Dynamo Kyiv;Draw
Lokomotiv Moskva;Atlético;Loss
Plzeň;Sporting CP;Win
Athletic;Marseille;Loss
Zenit;Leipzig;Draw
Dynamo Kyiv;Lazio;Loss
Arsenal;Milan;Win
Salzburg;Dortmund;Draw
Lyon;CSKA Moskva;Loss
Lazio;Salzburg;Win
Atlético;Sporting CP;Win
Arsenal;CSKA Moskva;Win
Leipzig;Marseille;Win
Salzburg;Lazio;Win
Sporting CP;Atlético;Win
CSKA Moskva;Arsenal;Draw
Marseille;Leipzig;Win
Arsenal;Atlético;Draw
Marseille;Salzburg;Win
Atlético;Arsenal;Win
Salzburg;Marseille;Win
Marseille;Atlético;Loss
Shirak;Tre Penne;Win
Lusitans;EB/Streymur;Draw
EB/Streymur;Lusitans;Win
Tre Penne;Shirak;Win
Plzeň;Željezničar;Win
Dinamo Tbilisi;EB/Streymur;Win
BATE;Shakhter;Loss
Ekranas;FH;Loss
Sheriff;Sutjeska;Draw
Fola;Dinamo Zagreb;Loss
Birkirkara;Maribor;Draw
FCSB;Vardar;Win
Shirak;Partizan;Draw
HJK;Kalju;Draw
Neftçi;Skënderbeu;Draw
Elfsborg;Daugava Daugavpils;Win
Sligo;Molde;Loss
Slovan Bratislava;Ludogorets;Win
TNS;Legia;Loss
Győr;M. Tel-Aviv;Loss
Cliftonville;Celtic;Loss
Shakhter;BATE;Win
Daugava Daugavpils;Elfsborg;Loss
Kalju;HJK;Win
Sutjeska;Sheriff;Loss
Molde;Sligo;Win
EB/Streymur;Dinamo Tbilisi;Loss
Skënderbeu;Neftçi;Win
M. Tel-Aviv;Győr;Win
Dinamo Zagreb;Fola;Win
Celtic;Cliftonville;Win
Vardar;FCSB;Loss
Željezničar;Plzeň;Loss
FH;Ekranas;Win
Ludogorets;Slovan Bratislava;Win
Maribor;Birkirkara;Win
Partizan;Shirak;Draw
Legia;TNS;Win
Shakhter;Skënderbeu;Win
Kalju;Plzeň;Loss
Austria Wien;FH;Win
Dinamo Tbilisi;FCSB;Loss
Nordsjælland;Zenit;Loss
Basel;M. Tel-Aviv;Win
PAOK;Metalist;Loss
PSV;Zulte Waregem;Win
Dinamo Zagreb;Sheriff;Win
Lyon;Grasshoppers;Win
APOEL;Maribor;Draw
Molde;Legia;Draw
Ludogorets;Partizan;Win
Salzburg;Fenerbahçe;Draw
Celtic;Elfsborg;Win
M. Tel-Aviv;Basel;Draw
FCSB;Dinamo Tbilisi;Draw
Skënderbeu;Shakhter;Win
Maribor;APOEL;Draw
Fenerbahçe;Salzburg;Win
Partizan;Ludogorets;Loss
Grasshoppers;Lyon;Loss
Zenit;Nordsjælland;Win
FH;Austria Wien;Draw
Metalist;PAOK;Draw
Sheriff;Dinamo Zagreb;Loss
Elfsborg;Celtic;Draw
Plzeň;Kalju;Win
Zulte Waregem;PSV;Loss
Legia;Molde;Draw
Shakhter;Celtic;Win
PSV;Milan;Draw
Paços Ferreira;Zenit;Loss
Lyon;Real Sociedad;Loss
Plzeň;Maribor;Win
Fenerbahçe;Arsenal;Loss
Schalke;PAOK;Draw
FCSB;Legia;Draw
Ludogorets;Basel;Loss
Dinamo Zagreb;Austria Wien;Loss
Arsenal;Fenerbahçe;Win
PAOK;Schalke;Loss
Legia;FCSB;Draw
Basel;Ludogorets;Win
Austria Wien;Dinamo Zagreb;Loss
Zenit;Paços Ferreira;Win
Milan;PSV;Win
Real Sociedad;Lyon;Win
Celtic;Shakhter;Win
Maribor;Plzeň;Loss
Real Sociedad;Shakhtar Donetsk;Loss
Man. United;Leverkusen;Win
København;Juventus;Draw
Galatasaray;Real Madrid;Loss
Olympiacos;Paris;Loss
Benfica;Anderlecht;Win
Plzeň;Man. City;Loss
Bayern;CSKA Moskva;Win
Chelsea;Basel;Loss
Schalke;FCSB;Win
Napoli;Dortmund;Win
Marseille;Arsenal;Loss
Atlético;Zenit;Win
Austria Wien;Porto;Loss
Barcelona;Ajax;Win
Milan;Celtic;Win
Zenit;Austria Wien;Draw
FCSB;Chelsea;Loss
Basel;Schalke;Loss
Arsenal;Napoli;Win
Dortmund;Marseille;Win
Porto;Atlético;Loss
Celtic;Barcelona;Loss
Ajax;Milan;Draw
CSKA Moskva;Plzeň;Win
Leverkusen;Real Sociedad;Win
Shakhtar Donetsk;Man. United;Draw
Real Madrid;København;Win
Juventus;Galatasaray;Draw
Anderlecht;Olympiacos;Loss
Paris;Benfica;Win
Man. City;Bayern;Loss
Schalke;Chelsea;Loss
FCSB;Basel;Draw
Marseille;Napoli;Loss
Arsenal;Dortmund;Loss
Austria Wien;Atlético;Loss
Porto;Zenit;Loss
Milan;Barcelona;Draw
Celtic;Ajax;Win
CSKA Moskva;Man. City;Loss
Man. United;Real Sociedad;Win
Leverkusen;Shakhtar Donetsk;Win
Galatasaray;København;Win
Real Madrid;Juventus;Win
Benfica;Olympiacos;Draw
Anderlecht;Paris;Loss
Bayern;Plzeň;Win
Real Sociedad;Man. United;Draw
Shakhtar Donetsk;Leverkusen;Draw
København;Galatasaray;Win
Juventus;Real Madrid;Draw
Olympiacos;Benfica;Win
Paris;Anderlecht;Draw
Plzeň;Bayern;Loss
Man. City;CSKA Moskva;Win
Zenit;Porto;Draw
Chelsea;Schalke;Win
Basel;FCSB;Draw
Napoli;Marseille;Win
Dortmund;Arsenal;Loss
Atlético;Austria Wien;Win
Barcelona;Milan;Win
Ajax;Celtic;Win
Zenit;Atlético;Draw
Basel;Chelsea;Win
FCSB;Schalke;Draw
Dortmund;Napoli;Win
Arsenal;Marseille;Win
Porto;Austria Wien;Draw
Ajax;Barcelona;Win
Celtic;Milan;Loss
CSKA Moskva;Bayern;Loss
Shakhtar Donetsk;Real Sociedad;Win
Leverkusen;Man. United;Loss
Juventus;København;Win
Real Madrid;Galatasaray;Win
Paris;Olympiacos;Win
Anderlecht;Benfica;Loss
Man. City;Plzeň;Win
Real Sociedad;Leverkusen;Loss
Man. United;Shakhtar Donetsk;Win
København;Real Madrid;Loss
Olympiacos;Anderlecht;Win
Benfica;Paris;Win
Plzeň;CSKA Moskva;Win
Bayern;Man. City;Loss
Galatasaray;Juventus;Win
Chelsea;FCSB;Win
Schalke;Basel;Win
Napoli;Arsenal;Win
Marseille;Dortmund;Loss
Atlético;Porto;Win
Austria Wien;Zenit;Win
Barcelona;Celtic;Win
Milan;Ajax;Draw
Leverkusen;Paris;Loss
Man. City;Barcelona;Loss
Milan;Atlético;Loss
Arsenal;Bayern;Loss
Zenit;Dortmund;Loss
Olympiacos;Man. United;Win
Schalke;Real Madrid;Loss
Galatasaray;Chelsea;Draw
Atlético;Milan;Win
Bayern;Arsenal;Draw
Paris;Leverkusen;Win
Barcelona;Man. City;Win
Real Madrid;Schalke;Win
Chelsea;Galatasaray;Win
Man. United;Olympiacos;Win
Dortmund;Zenit;Loss
Man. United;Bayern;Draw
Barcelona;Atlético;Draw
Paris;Chelsea;Win
Real Madrid;Dortmund;Win
Dortmund;Real Madrid;Win
Chelsea;Paris;Win
Atlético;Barcelona;Win
Bayern;Man. United;Win
Atlético;Chelsea;Draw
Real Madrid;Bayern;Win
Bayern;Real Madrid;Loss
Chelsea;Atlético;Loss
Real Madrid;Atlético;Win
FC Santa Coloma;Banants;Win
La Fiorita;Levadia;Loss
Lincoln Red Imps;HB;Draw
Banants;FC Santa Coloma;Win
Levadia;La Fiorita;Win
HB;Lincoln Red Imps;Win
Valletta;Qarabağ;Loss
Slovan Bratislava;TNS;Win
Sheriff;Sutjeska;Win
BATE;Skënderbeu;Draw
Zrinjski;Maribor;Draw
Rabotnicki;HJK;Draw
FC Santa Coloma;M. Tel-Aviv;Loss
Dinamo Zagreb;Žalgiris;Win
Partizan;HB;Win
Cliftonville;Debrecen;Draw
Sparta Praha;Levadia;Win
KR;Celtic;Loss
Ludogorets;Dudelange;Win
Malmö;Ventspils;Draw
Dinamo Tbilisi;Aktobe;Loss
Strømsgodset;FCSB;Loss
Legia;St Patrick's;Draw
Sutjeska;Sheriff;Loss
Dudelange;Ludogorets;Draw
Levadia;Sparta Praha;Draw
Qarabağ;Valletta;Win
M. Tel-Aviv;FC Santa Coloma;Win
TNS;Slovan Bratislava;Loss
HB;Partizan;Loss
Skënderbeu;BATE;Draw
Žalgiris;Dinamo Zagreb;Loss
Debrecen;Cliftonville;Win
Celtic;KR;Win
Aktobe;Dinamo Tbilisi;Win
HJK;Rabotnicki;Win
Ventspils;Malmö;Loss
FCSB;Strømsgodset;Win
