Home Team;Away Team;Result
Sevilla;Estoril;Draw
Liberec;Freiburg;Loss
Rijeka;Vitória SC;Draw
Lyon;Betis;Win
Legia;Lazio;Loss
Trabzonspor;Apollon;Win
Tromsø;Tottenham;Loss
AZ;M. Haifa;Win
Swansea;Valencia;Loss
Ludogorets;PSV;Win
Chornomorets Odesa;Dinamo Zagreb;Win
Esbjerg;Standard Liège;Win
Elfsborg;Salzburg;Loss
Wigan;Zulte Waregem;Loss
Dnipro;Pandurii;Win
Paços Ferreira;Fiorentina;Draw
APOEL;M. Tel-Aviv;Draw
Bordeaux;Frankfurt;Loss
St Gallen;Swansea;Win
Valencia;Kuban;Draw
PSV;Chornomorets Odesa;Loss
Dinamo Zagreb;Ludogorets;Loss
Standard Liège;Elfsborg;Loss
Salzburg;Esbjerg;Win
Maribor;Wigan;Win
Zulte Waregem;Rubin;Loss
Pandurii;Paços Ferreira;Draw
Fiorentina;Dnipro;Win
M. Tel-Aviv;Bordeaux;Win
Frankfurt;APOEL;Win
Thun;Genk;Loss
Dynamo Kyiv;Rapid Wien;Win
Estoril;Liberec;Loss
Freiburg;Sevilla;Loss
Vitória SC;Lyon;Loss
Betis;Rijeka;Draw
Lazio;Trabzonspor;Draw
Apollon;Legia;Loss
Tottenham;Anji;Win
Sheriff;Tromsø;Win
M. Haifa;Shakhter;Win
PAOK;AZ;Draw
Anji;Genk;Draw
Liberec;AZ;Loss
PAOK;Benfica;Loss
Dynamo Kyiv;Valencia;Loss
Esbjerg;Fiorentina;Loss
Chornomorets Odesa;Lyon;Draw
Juventus;Trabzonspor;Win
Dnipro;Tottenham;Win
Porto;Frankfurt;Draw
M. Tel-Aviv;Basel;Draw
Ajax;Salzburg;Loss
Lazio;Ludogorets;Loss
Plzeň;Shakhtar Donetsk;Draw
Maribor;Sevilla;Draw
Swansea;Napoli;Draw
Betis;Rubin;Draw
Rubin;Betis;Loss
Frankfurt;Porto;Draw
Basel;M. Tel-Aviv;Win
Salzburg;Ajax;Win
Ludogorets;Lazio;Draw
Shakhtar Donetsk;Plzeň;Loss
Sevilla;Maribor;Win
Napoli;Swansea;Win
AZ;Liberec;Draw
Benfica;PAOK;Win
Valencia;Dynamo Kyiv;Draw
Genk;Anji;Loss
Fiorentina;Esbjerg;Draw
Lyon;Chornomorets Odesa;Win
Trabzonspor;Juventus;Loss
Tottenham;Dnipro;Win
Basel;Salzburg;Draw
Porto;Napoli;Win
Ludogorets;Valencia;Loss
Juventus;Fiorentina;Draw
Tottenham;Benfica;Loss
Sevilla;Betis;Loss
Lyon;Plzeň;Win
AZ;Anji;Win
Anji;AZ;Draw
Fiorentina;Juventus;Loss
Benfica;Tottenham;Draw
Plzeň;Lyon;Win
Valencia;Ludogorets;Win
Salzburg;Basel;Loss
Betis;Sevilla;Loss
Napoli;Porto;Draw
Porto;Sevilla;Win
Basel;Valencia;Win
Lyon;Juventus;Loss
AZ;Benfica;Loss
Sevilla;Porto;Win
Valencia;Basel;Win
Juventus;Lyon;Win
Benfica;AZ;Win
Benfica;Juventus;Win
Sevilla;Valencia;Win
Juventus;Benfica;Draw
Valencia;Sevilla;Win
Sevilla;Benfica;Draw
Club Brugge;Brøndby;Win
Real Sociedad;Aberdeen;Win
St Johnstone;Spartak Trnava;Loss
Grödig;Zimbru;Loss
Ermis;Young Boys;Loss
Esbjerg;Ruch;Draw
Liberec;Astra;Loss
Molde;Zorya;Loss
Krasnodar;Diósgyőr;Win
Chornomorets Odesa;Split;Draw
Chikhura;Neftçi;Loss
H. Kiryat Shmona;Dinamo Moskva;Loss
Shakhtyor;Zulte Waregem;Draw
AIK;Astana;Loss
Lech;Stjarnan;Draw
St Pölten;PSV;Loss
Rosenborg;Karabükspor;Draw
Hajduk Split;Shakhter;Win
CFR Cluj;Dinamo Minsk;Loss
Spartak Trnava;St Johnstone;Draw
Brøndby;Club Brugge;Loss
Plzeň;Petrolul;Loss
Atromitos;Sarajevo;Loss
Asteras;Mainz;Win
FH;Elfsborg;Win
Torino;Brommapojkarna;Win
Hull;Trenčín;Win
Lyon;Mladá Boleslav;Win
Aberdeen;Real Sociedad;Loss
Metalurg Skopje;Omonia;Loss
Rio Ave;Göteborg;Draw
Zimbru;Grödig;Loss
Rijeka;Vikingur;Win
Dnipro;Hajduk Split;Win
Stjarnan;Internazionale;Loss
Aktobe;Legia;Loss
Astana;Villarreal;Loss
Dinamo Moskva;Omonia;Draw
Ruch;Metalist;Draw
HJK;Rapid Wien;Win
Qarabağ;Twente;Draw
AEL;Tottenham;Loss
PSV;Shakhtyor;Win
Karabükspor;St-Étienne;Win
Elfsborg;Rio Ave;Win
Dinamo Minsk;Nacional;Win
Petrolul;Dinamo Zagreb;Loss
Young Boys;Debrecen;Win
Apollon;Lokomotiv Moskva;Draw
Zorya;Feyenoord;Draw
Panathinaikos;Midtjylland;Win
Trabzonspor;Rostov;Win
Zwolle;Sparta Praha;Draw
Zimbru;PAOK;Win
Grasshoppers;Club Brugge;Loss
Partizan;Neftçi;Win
Asteras;M. Tel-Aviv;Win
Spartak Trnava;Zürich;Loss
Real Sociedad;Krasnodar;Win
Lokeren;Hull;Win
Lyon;Astra;Loss
Split;Torino;Draw
Sarajevo;Mönchengladbach;Loss
Rijeka;Sheriff;Win
Lokomotiv Moskva;Apollon;Loss
Krasnodar;Real Sociedad;Win
Metalist;Ruch;Win
Neftçi;Partizan;Loss
Omonia;Dinamo Moskva;Loss
PAOK;Zimbru;Win
Astra;Lyon;Loss
Sheriff;Rijeka;Loss
Shakhtyor;PSV;Loss
Rostov;Trabzonspor;Draw
Hajduk Split;Dnipro;Draw
Twente;Qarabağ;Draw
M. Tel-Aviv;Asteras;Win
Feyenoord;Zorya;Win
Midtjylland;Panathinaikos;Loss
St-Étienne;Karabükspor;Win
Torino;Split;Win
Rapid Wien;HJK;Draw
Zürich;Spartak Trnava;Draw
Sparta Praha;Zwolle;Win
Debrecen;Young Boys;Draw
Internazionale;Stjarnan;Win
Hull;Lokeren;Win
Nacional;Dinamo Minsk;Loss
Tottenham;AEL;Win
Villarreal;Astana;Win
Mönchengladbach;Sarajevo;Win
Club Brugge;Grasshoppers;Win
Legia;Aktobe;Win
Dinamo Zagreb;Petrolul;Win
Rio Ave;Elfsborg;Win
Qarabağ;St-Étienne;Draw
Apollon;Zürich;Win
Mönchengladbach;Villarreal;Draw
København;HJK;Win
Club Brugge;Torino;Draw
Beşiktaş;Asteras;Draw
Partizan;Tottenham;Draw
Dinamo Zagreb;Astra;Win
Salzburg;Celtic;Draw
